Timestamp,Temperatura_Hotend,RPM_Motor_DC,Grosor_Filamento,PWM_Hotend,PWM_Motor_DC,PWM_Fan,Setpoint_Temp,Setpoint_RPM,Estado_Motor_DC,Estado_Fan,Estado_Extrusor,Estado_Heater
0,21.08,0.0,,0,0,0,190.0,20.0,0,0,0,0
1,21.08,0.0,,0,0,0,190.0,20.0,0,0,0,0
2,21.68,0.0,,0,0,0,190.0,20.0,0,0,0,0
3,21.08,0.0,,0,0,0,190.0,20.0,0,0,0,0
4,21.08,0.0,,0,0,0,190.0,20.0,0,0,0,0
5,21.08,0.0,,0,0,0,190.0,20.0,0,0,0,0
6,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
7,20.46,0.0,,0,255,0,190.0,20.0,0,0,0,0
8,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
9,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
10,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
11,20.46,0.0,,0,255,0,190.0,20.0,0,0,0,0
12,23.42,0.0,,0,255,0,190.0,20.0,0,0,0,0
13,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
14,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
15,21.68,0.0,,0,255,0,190.0,20.0,0,0,0,0
16,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
17,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
18,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
19,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
20,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
21,21.68,0.0,,0,255,0,190.0,20.0,0,0,0,0
22,20.46,0.0,,0,255,0,190.0,20.0,0,0,0,0
23,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
24,21.68,0.0,,0,255,0,190.0,20.0,0,0,0,0
25,20.46,0.0,,0,255,0,190.0,20.0,0,0,0,0
26,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
27,20.46,0.0,,0,255,0,190.0,20.0,0,0,0,0
28,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
29,20.46,0.0,,0,255,0,190.0,20.0,0,0,0,0
30,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
31,21.68,0.0,,0,255,0,190.0,20.0,0,0,0,0
32,20.46,0.0,,0,255,0,190.0,20.0,0,0,0,0
33,21.68,0.0,,0,255,0,190.0,20.0,0,0,0,0
34,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
35,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
36,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
37,20.46,0.0,,0,255,0,190.0,20.0,0,0,0,0
38,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
39,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
40,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
41,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
42,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
43,21.68,0.0,,0,255,0,190.0,20.0,0,0,0,0
44,20.46,0.0,,0,255,0,190.0,20.0,0,0,0,0
45,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
46,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
47,20.46,0.0,,0,255,0,190.0,20.0,0,0,0,0
48,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
49,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
50,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
51,21.08,0.0,,0,255,0,190.0,20.0,0,0,0,0
52,20.46,0.51,,0,255,0,190.0,20.0,1,0,0,0
53,21.08,3.06,,0,255,0,190.0,20.0,1,0,0,0
54,21.08,3.06,,0,255,0,190.0,20.0,1,0,0,0
